"","sector","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"1","AGRICULTURE",2020,"at or below zero",391.464604564001,391.464604564001
"2","AGRICULTURE",2020,"above zero",818.197127782777,1209.66173234678
"3","AGRICULTURE",2025,"at or below zero",399.670383955321,399.670383955321
"4","AGRICULTURE",2025,"above zero",829.777471195904,1229.44785515123
"5","AGRICULTURE",2030,"at or below zero",412.904515753017,412.904515753017
"6","AGRICULTURE",2030,"above zero",865.899500933181,1278.8040166862
"7","AGRICULTURE",2035,"at or below zero",421.377123685729,421.377123685729
"8","AGRICULTURE",2035,"above zero",960.213985576911,1381.59110926264
"9","AGRICULTURE",2040,"at or below zero",448.038672703668,448.038672703668
"10","AGRICULTURE",2040,"above zero",1040.43507239538,1488.47374509905
"11","AGRICULTURE",2045,"at or below zero",458.673947204786,458.673947204786
"12","AGRICULTURE",2045,"above zero",1137.31963185151,1595.99357905629
"13","AGRICULTURE",2050,"at or below zero",481.080101394287,481.080101394287
"14","AGRICULTURE",2050,"above zero",1225.98423844226,1707.06433983655
"15","AGRICULTURE",2055,"at or below zero",496.16276483063,496.16276483063
"16","AGRICULTURE",2055,"above zero",1228.71584987721,1724.87861470784
"17","AGRICULTURE",2060,"at or below zero",506.404351093643,506.404351093643
"18","AGRICULTURE",2060,"above zero",1236.40584285495,1742.81019394859
"19","AGRICULTURE",2065,"at or below zero",528.15584446203,528.15584446203
"20","AGRICULTURE",2065,"above zero",1232.51614821992,1760.67199268195
"21","AGRICULTURE",2070,"at or below zero",563.53750743274,563.53750743274
"22","AGRICULTURE",2070,"above zero",1216.39549153834,1779.93299897108
"23","AGRICULTURE",2075,"at or below zero",578.596959449643,578.596959449643
"24","AGRICULTURE",2075,"above zero",1222.18752932181,1800.78448877145
"25","AGRICULTURE",2080,"at or below zero",588.496975829338,588.496975829338
"26","AGRICULTURE",2080,"above zero",1233.6784658341,1822.17544166344
"27","ENERGY",2020,"at or below zero",145.035428789883,145.035428789883
"28","ENERGY",2020,"above zero",1075.78970653859,1220.82513532847
"29","ENERGY",2025,"at or below zero",149.393897822463,149.393897822463
"30","ENERGY",2025,"above zero",1096.65499850192,1246.04889632438
"31","ENERGY",2030,"at or below zero",153.120394034594,153.120394034594
"32","ENERGY",2030,"above zero",1096.20680064902,1249.32719468362
"33","ENERGY",2035,"at or below zero",166.627941495408,166.627941495408
"34","ENERGY",2035,"above zero",1142.38595172522,1309.01389322063
"35","ENERGY",2040,"at or below zero",173.766286178145,173.766286178145
"36","ENERGY",2040,"above zero",1196.91637341407,1370.68265959221
"37","ENERGY",2045,"at or below zero",179.056347262945,179.056347262945
"38","ENERGY",2045,"above zero",1259.38887331715,1438.44522058009
"39","ENERGY",2050,"at or below zero",191.440282205624,191.440282205624
"40","ENERGY",2050,"above zero",1321.58683353025,1513.02711573587
"41","ENERGY",2055,"above zero",1531.86609370917,1531.86609370917
"42","ENERGY",2060,"at or below zero",196.071480817366,196.071480817366
"43","ENERGY",2060,"above zero",1366.69688976748,1562.76837058484
"44","ENERGY",2065,"above zero",1578.87423270395,1578.87423270395
"45","ENERGY",2070,"at or below zero",196.875674489761,196.875674489761
"46","ENERGY",2070,"above zero",1411.72237345414,1608.5980479439
"47","ENERGY",2075,"above zero",1623.7651458169,1623.7651458169
"48","ENERGY",2080,"at or below zero",198.440454808127,198.440454808127
